Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C123 Local Government Area 2011 to Remoteness Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 January 2013,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
23940,Loddon (S),21,Inner Regional Australia,0.4097503,40.9750337,,,,,,,
23940,Loddon (S),22,Outer Regional Australia,0.5902497,59.0249663,,,,,,,
24130,Macedon Ranges (S),21,Inner Regional Australia,1,100,,,,,,,
24210,Manningham (C),20,Major Cities of Australia,0.9984007,99.8400679,,,,,,,
24210,Manningham (C),21,Inner Regional Australia,0.0015993,0.1599321,,,,,,,
24250,Mansfield (S),22,Outer Regional Australia,0.9999994,99.9999367,,,,,,,
24330,Maribyrnong (C),20,Major Cities of Australia,1,100,,,,,,,
24410,Maroondah (C),20,Major Cities of Australia,1,100,,,,,,,
24600,Melbourne (C),20,Major Cities of Australia,1,100,,,,,,,
24650,Melton (S),20,Major Cities of Australia,0.9653667,96.5366715,,,,,,,
24650,Melton (S),21,Inner Regional Australia,0.0346333,3.4633285,,,,,,,
24780,Mildura (RC),22,Outer Regional Australia,0.9850406,98.5040596,,,,,,,
24780,Mildura (RC),23,Remote Australia,0.0149594,1.4959404,,,,,,,
24850,Mitchell (S),20,Major Cities of Australia,0.225487,22.548703,,,,,,,
24850,Mitchell (S),21,Inner Regional Australia,0.774513,77.451297,,,,,,,
24900,Moira (S),21,Inner Regional Australia,0.9661169,96.611689,,,,,,,
24900,Moira (S),22,Outer Regional Australia,0.0338831,3.388311,,,,,,,
24970,Monash (C),20,Major Cities of Australia,1,100,,,,,,,
25060,Moonee Valley (C),20,Major Cities of Australia,1,100,,,,,,,
25150,Moorabool (S),21,Inner Regional Australia,1,100,,,,,,,
25250,Moreland (C),20,Major Cities of Australia,1,100,,,,,,,
25340,Mornington Peninsula (S),20,Major Cities of Australia,0.9668338,96.6833801,,,,,,,
25340,Mornington Peninsula (S),21,Inner Regional Australia,0.0331662,3.3166199,,,,,,,
25430,Mount Alexander (S),21,Inner Regional Australia,1,100,,,,,,,
